router_id,hour,latency_ms,packet_loss_pct,disconnects,connected_devices,signal_dbm,is_bad
R-1001,0,120,4.4,2,80,-70,false
R-1001,1,125,5.1,2,83,-69,false
R-1001,2,130,5.8,2,86,-68,false
R-1001,3,135,6.5,2,89,-67,false
R-1001,4,140,7.2,2,92,-70,false
R-1001,5,145,4.4,2,95,-69,false
R-1001,6,150,5.1,2,98,-68,false
R-1001,7,120,5.8,2,101,-67,false
R-1001,8,125,6.5,2,104,-70,false
R-1001,9,230,14.0,6,120,-81,true
R-1001,10,235,11.2,6,123,-80,true
R-1001,11,240,11.9,6,126,-79,true
R-1001,12,245,12.6,6,129,-82,true
R-1001,13,250,13.3,6,132,-81,true
R-1001,14,220,14.0,6,135,-80,true
R-1001,15,225,11.2,6,138,-79,true
R-1001,16,230,11.9,6,141,-82,true
R-1001,17,235,12.6,6,144,-81,true
R-1001,18,140,6.5,2,80,-68,false
R-1001,19,145,7.2,2,83,-67,false
R-1001,20,150,4.4,2,86,-70,false
R-1001,21,120,5.1,2,89,-69,false
R-1001,22,125,5.8,2,92,-68,false
R-1001,23,130,6.5,2,95,-67,false
R-1002,0,120,4.4,2,80,-70,false
R-1002,1,125,5.1,2,83,-69,false
R-1002,2,130,5.8,2,86,-68,false
R-1002,3,135,6.5,2,89,-67,false
R-1002,4,140,7.2,2,92,-70,false
R-1002,5,145,4.4,2,95,-69,false
R-1002,6,150,5.1,2,98,-68,false
R-1002,7,120,5.8,2,101,-67,false
R-1002,8,125,6.5,2,104,-70,false
R-1002,9,230,14.0,6,120,-81,true
R-1002,10,235,11.2,6,123,-80,true
R-1002,11,240,11.9,6,126,-79,true
R-1002,12,245,12.6,6,129,-82,true
R-1002,13,250,13.3,6,132,-81,true
R-1002,14,220,14.0,6,135,-80,true
R-1002,15,225,11.2,6,138,-79,true
R-1002,16,230,11.9,6,141,-82,true
R-1002,17,235,12.6,6,144,-81,true
R-1002,18,140,6.5,2,80,-68,false
R-1002,19,145,7.2,2,83,-67,false
R-1002,20,150,4.4,2,86,-70,false
R-1002,21,120,5.1,2,89,-69,false
R-1002,22,125,5.8,2,92,-68,false
R-1002,23,130,6.5,2,95,-67,false
R-1003,0,120,4.4,2,80,-70,false
R-1003,1,125,5.1,2,83,-69,false
R-1003,2,130,5.8,2,86,-68,false
R-1003,3,135,6.5,2,89,-67,false
R-1003,4,140,7.2,2,92,-70,false
R-1003,5,145,4.4,2,95,-69,false
R-1003,6,150,5.1,2,98,-68,false
R-1003,7,120,5.8,2,101,-67,false
R-1003,8,125,6.5,2,104,-70,false
R-1003,9,130,7.2,2,80,-69,false
R-1003,10,135,4.4,2,83,-68,false
R-1003,11,140,5.1,2,86,-67,false
R-1003,12,145,5.8,2,89,-70,false
R-1003,13,150,6.5,2,92,-69,false
R-1003,14,120,7.2,2,95,-68,false
R-1003,15,125,4.4,2,98,-67,false
R-1003,16,230,11.9,6,141,-82,true
R-1003,17,235,12.6,6,144,-81,true
R-1003,18,240,13.3,6,120,-80,true
R-1003,19,245,14.0,6,123,-79,true
R-1003,20,150,4.4,2,86,-70,false
R-1003,21,120,5.1,2,89,-69,false
R-1003,22,125,5.8,2,92,-68,false
