ticket_id,router_id,date,complaint_text
T-901,R-1002,02-08-2026,Video calls freeze constantly
T-902,R-1002,29-07-2026,No signal in the corner of the room
T-903,R-1010,02-08-2026,Router restarts on its own multiple times a day
T-904,R-1010,26-07-2026,Router keeps disconnecting during online exam
T-905,R-1010,30-07-2026,Wi-Fi drops every evening during class
T-906,R-1010,05-08-2026,Video calls freeze constantly
T-907,R-1018,04-08-2026,Router keeps disconnecting during online exam
T-908,R-1018,03-08-2026,Router keeps disconnecting during online exam
T-909,R-1018,01-08-2026,Can't connect more than 2 devices
T-910,R-1026,27-07-2026,No signal in the corner of the room
T-911,R-1026,28-07-2026,No signal in the corner of the room
T-912,R-1026,05-08-2026,Wi-Fi drops every evening during class
T-913,R-1034,05-08-2026,Internet extremely slow after 8pm
T-914,R-1034,04-08-2026,Router keeps disconnecting during online exam
T-915,R-1034,31-07-2026,Router restarts on its own multiple times a day
T-916,R-1042,27-07-2026,Wi-Fi drops every evening during class
T-917,R-1042,26-07-2026,"Speed is fine in morning, unusable at night"
T-918,R-1042,01-08-2026,Router keeps disconnecting during online exam
T-919,R-1042,25-07-2026,Internet extremely slow after 8pm
T-920,R-1050,04-08-2026,"Speed is fine in morning, unusable at night"
T-921,R-1050,03-08-2026,Router restarts on its own multiple times a day
T-922,R-1050,27-07-2026,Router restarts on its own multiple times a day
T-923,R-1050,28-07-2026,Wi-Fi drops every evening during class
T-924,R-1058,28-07-2026,Router restarts on its own multiple times a day
T-925,R-1058,01-08-2026,Video calls freeze constantly
T-926,R-1051,06-08-2026,Router keeps disconnecting during online exam
T-927,R-1047,03-08-2026,Internet extremely slow after 8pm
T-928,R-1056,04-08-2026,Router restarts on its own multiple times a day
T-929,R-1020,04-08-2026,"Speed is fine in morning, unusable at night"
T-930,R-1000,29-07-2026,Internet extremely slow after 8pm
