router_id,building,room,model,firmware_version,user_type,health_score,bad_hours_count,latency_breakdown,packet_loss_breakdown,signal_breakdown,disconnects_breakdown
R-1001,North Hall,N-101,Cisco 9120,1.4.2,student,36,1,critical,critical,critical,critical
R-1002,Engineering Block,E-118,Aruba 535,2.0.1,staff,43,2,critical,critical,critical,critical
R-1003,Library Annex,L-402,Juniper EX2300,3.1.9,faculty,50,3,warning,warning,warning,warning
R-1004,South Residence,SR-215,Ubiquiti U6-Pro,4.2.3,student,57,4,warning,warning,warning,warning
R-1005,Business School,BS-205,Meraki MR46,2.5.8,faculty,64,5,warning,warning,warning,warning
R-1006,Admin Block,A-410,Aruba 515,2.8.7,staff,71,6,healthy,healthy,healthy,healthy
R-1007,Research Wing,RW-102,Huawei AirEngine,5.0.2,researcher,78,7,healthy,healthy,healthy,healthy
R-1008,Engineering Block,E-221,Ubiquiti U6-LR,4.9.4,staff,85,8,healthy,healthy,healthy,healthy
R-1009,North Hall,N-204,Cisco 9120,1.4.2,student,92,9,healthy,healthy,healthy,healthy
R-1010,South Residence,SR-305,Cisco 9120,1.5.4,student,41,1,critical,critical,critical,critical
R-1011,North Hall,N-101,Cisco 9120,1.4.2,student,48,2,warning,warning,warning,warning
R-1012,Engineering Block,E-118,Aruba 535,2.0.1,staff,55,3,warning,warning,warning,warning
R-1013,Library Annex,L-402,Juniper EX2300,3.1.9,faculty,62,4,warning,warning,warning,warning
R-1014,South Residence,SR-215,Ubiquiti U6-Pro,4.2.3,student,69,5,warning,warning,warning,warning
R-1015,Business School,BS-205,Meraki MR46,2.5.8,faculty,76,6,healthy,healthy,healthy,healthy
R-1016,Admin Block,A-410,Aruba 515,2.8.7,staff,83,7,healthy,healthy,healthy,healthy
R-1017,Research Wing,RW-102,Huawei AirEngine,5.0.2,researcher,90,8,healthy,healthy,healthy,healthy
R-1018,Engineering Block,E-221,Ubiquiti U6-LR,4.9.4,staff,39,9,critical,critical,critical,critical
R-1019,North Hall,N-204,Cisco 9120,1.4.2,student,46,1,warning,warning,warning,warning
R-1020,South Residence,SR-305,Cisco 9120,1.5.4,student,53,2,warning,warning,warning,warning
R-1021,North Hall,N-101,Cisco 9120,1.4.2,student,60,3,warning,warning,warning,warning
R-1022,Engineering Block,E-118,Aruba 535,2.0.1,staff,67,4,warning,warning,warning,warning
R-1023,Library Annex,L-402,Juniper EX2300,3.1.9,faculty,74,5,healthy,healthy,healthy,healthy
R-1024,South Residence,SR-215,Ubiquiti U6-Pro,4.2.3,student,81,6,healthy,healthy,healthy,healthy
R-1025,Business School,BS-205,Meraki MR46,2.5.8,faculty,88,7,healthy,healthy,healthy,healthy
R-1026,Admin Block,A-410,Aruba 515,2.8.7,staff,37,8,critical,critical,critical,critical
R-1027,Research Wing,RW-102,Huawei AirEngine,5.0.2,researcher,44,9,critical,critical,critical,critical
R-1028,Engineering Block,E-221,Ubiquiti U6-LR,4.9.4,staff,51,1,warning,warning,warning,warning
R-1029,North Hall,N-204,Cisco 9120,1.4.2,student,58,2,warning,warning,warning,warning
R-1030,South Residence,SR-305,Cisco 9120,1.5.4,student,65,3,warning,warning,warning,warning
R-1031,North Hall,N-101,Cisco 9120,1.4.2,student,72,4,healthy,healthy,healthy,healthy
R-1032,Engineering Block,E-118,Aruba 535,2.0.1,staff,79,5,healthy,healthy,healthy,healthy
R-1033,Library Annex,L-402,Juniper EX2300,3.1.9,faculty,86,6,healthy,healthy,healthy,healthy
R-1034,South Residence,SR-215,Ubiquiti U6-Pro,4.2.3,student,93,7,healthy,healthy,healthy,healthy
R-1035,Business School,BS-205,Meraki MR46,2.5.8,faculty,42,8,critical,critical,critical,critical
R-1036,Admin Block,A-410,Aruba 515,2.8.7,staff,49,9,warning,warning,warning,warning
R-1037,Research Wing,RW-102,Huawei AirEngine,5.0.2,researcher,56,1,warning,warning,warning,warning
R-1038,Engineering Block,E-221,Ubiquiti U6-LR,4.9.4,staff,63,2,warning,warning,warning,warning
R-1039,North Hall,N-204,Cisco 9120,1.4.2,student,70,3,healthy,healthy,healthy,healthy
R-1040,South Residence,SR-305,Cisco 9120,1.5.4,student,77,4,healthy,healthy,healthy,healthy
R-1041,North Hall,N-101,Cisco 9120,1.4.2,student,84,5,healthy,healthy,healthy,healthy
R-1042,Engineering Block,E-118,Aruba 535,2.0.1,staff,91,6,healthy,healthy,healthy,healthy
R-1043,Library Annex,L-402,Juniper EX2300,3.1.9,faculty,40,7,critical,critical,critical,critical
R-1044,South Residence,SR-215,Ubiquiti U6-Pro,4.2.3,student,47,8,warning,warning,warning,warning
R-1045,Business School,BS-205,Meraki MR46,2.5.8,faculty,54,9,warning,warning,warning,warning
R-1046,Admin Block,A-410,Aruba 515,2.8.7,staff,61,1,warning,warning,warning,warning
R-1047,Research Wing,RW-102,Huawei AirEngine,5.0.2,researcher,68,2,warning,warning,warning,warning
R-1048,Engineering Block,E-221,Ubiquiti U6-LR,4.9.4,staff,75,3,healthy,healthy,healthy,healthy
R-1049,North Hall,N-204,Cisco 9120,1.4.2,student,82,4,healthy,healthy,healthy,healthy
R-1050,South Residence,SR-305,Cisco 9120,1.5.4,student,89,5,healthy,healthy,healthy,healthy
R-1051,North Hall,N-101,Cisco 9120,1.4.2,student,38,6,critical,critical,critical,critical
R-1052,Engineering Block,E-118,Aruba 535,2.0.1,staff,45,7,warning,warning,warning,warning
R-1053,Library Annex,L-402,Juniper EX2300,3.1.9,faculty,52,8,warning,warning,warning,warning
R-1054,South Residence,SR-215,Ubiquiti U6-Pro,4.2.3,student,59,9,warning,warning,warning,warning
R-1055,Business School,BS-205,Meraki MR46,2.5.8,faculty,66,1,warning,warning,warning,warning
R-1056,Admin Block,A-410,Aruba 515,2.8.7,staff,73,2,healthy,healthy,healthy,healthy
R-1057,Research Wing,RW-102,Huawei AirEngine,5.0.2,researcher,80,3,healthy,healthy,healthy,healthy
R-1058,Engineering Block,E-221,Ubiquiti U6-LR,4.9.4,staff,87,4,healthy,healthy,healthy,healthy
R-1059,North Hall,N-204,Cisco 9120,1.4.2,student,36,5,critical,critical,critical,critical
R-1060,South Residence,SR-305,Cisco 9120,1.5.4,student,43,6,critical,critical,critical,critical
